Approach,Acc.,Forgetting,Mem.,FLOPs,S_minus,S_plus,S_in,S_out,S_pl
Independent,0.58,0.0,14.1,308.4,0.0,0.0,0.0,0.0,0.0
Finetune,0.19,-0.3,2.4,283.8,0.0,-0.1,-0.0,-0.0,-0.1
New head,0.48,0.0,2.5,307.4,0.4,-0.3,-0.2,0.3,-0.4
New head finetune,0.17,-0.4,2.5,305.2,-0.0,-0.1,0.0,-0.1,-0.1
New leg,0.41,0.0,2.5,365.6,0.3,-0.3,0.4,-0.1,-0.4
New leg finetune,0.17,-0.4,2.5,328.6,-0.0,-0.1,0.1,-0.0,-0.1
EWC†,0.42,-0.1,30.5,315.3,0.4,-0.3,0.3,0.3,-0.4
Online EWC,0.43,-0.1,7.3,309.6,0.3,-0.3,0.3,0.3,-0.4
ER (Reservoir),0.22,-0.3,13.1,564.8,-0.1,-0.1,0.0,0.0,-0.2
ER,0.44,-0.1,13.1,604.4,0.0,-0.2,0.0,0.1,-0.2
PNN,0.57,0.0,48.2,1459.2,0.3,-0.2,0.1,0.2,-0.1
MNTDP-S,0.59,0.0,11.7,363.4,0.4,-0.1,0.0,0.3,-0.1
MNTDP-S (k=all),0.59,0.0,12.1,402.8,0.3,-0.0,0.1,0.3,-0.1
MNTDP-D,0.64,0.0,11.6,1512.4,0.4,0.0,0.0,0.3,-0.0
